denomination,number_mp,num_observations,osc_epoch,semi_major_axis,eccentricity,inclination,long_asc_node,arg_perihelion,mean_anomaly,x_au,y_au,z_au,vx_au_day,vy_au_day,vz_au_day,heliocentric_distance_au,velocity_magnitude_au_day
slotin,12423,542,2180.0,2.578432059566795,0.17108256373379188,0.08451513187652404,1.4828960355195688,-2.7652644505523183,0.9052880323105921,2.3459533750909953,-0.07617905557976382,-0.2501810160957098,0.0025615759212741147,0.010488193381608085,0.004403773952570867,2.3604853372610766,0.011660064178030952
johnbrooks,16901,542,2222.0,2.644444742364704,0.10329918265502461,0.25035068932787596,2.41377839351465,-1.7481820996651734,2.594197163773385,-2.7696998587594446,-0.7444140163346085,0.30746816151594814,0.0017147490636243371,-0.00920782997519975,-0.002356915519123024,2.884428228553019,0.009658133772508565
paulgerhardt,14372,541,2172.0,2.9973241775507455,0.09363872626353445,0.17104188491286942,3.3537731798894512,-1.7664119650024226,1.4193934733195661,-2.9755103135167777,-0.11768688709539006,-0.13894959944126473,-0.00044022218442088523,-0.009686199429300399,-0.002405274838735439,2.981076788749965,0.009990075175177084
tagaharue,10555,540,2239.0,3.2069119284502516,0.07130077894786192,0.29340486107981656,0.6541867249126723,2.51537772222995,0.19433206742016196,-2.8583356659536996,-0.854180370293972,-0.002636111804746169,0.0021798252652127587,-0.007808575076695043,-0.006354875664397175,2.9832388160092003,0.010300967315023881
raimonda,1450,539,2121.0,2.6113160904669934,0.1717274065636143,0.08488846844311726,1.307941815448678,0.23494903319310895,-2.929067983006894,0.3760424977944478,-2.7388047722241624,-1.2940560966603216,0.008838167628760957,0.0015654675005232607,-7.898116993686678e-05,3.052382794114965,0.008976086761750759
borngen,3859,537,2218.0,3.1979875282260326,0.14073673857736033,0.05034983304142604,2.201471464519386,-0.19210167204089398,1.0773996712322111,-2.967643223453689,-0.6410660277431017,-0.1256268552413467,0.0008144628845371638,-0.009349178063390393,-0.003763189255722764,3.0386928209996404,0.010110987767060941
medon,4836,535,2194.0,5.202563825539356,0.10878222452757905,0.33875500719289264,1.432143190822213,0.606130617909384,2.0589098836311366,-2.2349508512143372,-4.810063788600144,-1.5013039215361845,0.005771528742746495,-0.002361327774915421,-0.00340579657105917,5.512316429829295,0.007105340468434595
pierazzo,15339,535,2236.0,2.9273154711099085,0.08444548464430546,0.05418680033754275,2.2292681082613446,-1.97728534012659,-2.1048727975571384,-1.2466179681530045,-2.6263341661040642,-0.9791084915921809,0.008996512941356295,-0.002908609782844717,-0.001562673835094369,3.067627902610643,0.009583277387602836
popov,3074,534,2194.0,2.3394377068697705,0.11096552498958183,0.0421798380774252,6.086160892147808,2.6436779535094157,0.09190782870731048,-1.741657464393232,1.0318805094696848,0.48306733055190854,-0.006998422973571648,-0.009369120242393123,-0.004595258578050066,2.081226118168477,0.012564821512165572
yoshiewatanabe,15791,533,2207.0,2.380303302569144,0.2011426010701073,0.05849497684080185,1.3475243602272515,-0.3397572925987508,0.0007508656704174708,1.0120315002798945,1.4912984951520607,0.606309494545656,-0.011546996947358393,0.006380681071804905,0.0035880060702366936,1.9015231164458097,0.013671869550374183
troska,17776,531,2216.0,2.4835538354125237,0.08153566424228541,0.1302371352963103,5.595980700624361,-2.163608719207831,-2.997097437552109,2.4446701847235923,0.8525650630650957,0.7084495438462367,-0.004173167539115111,0.008157614834020971,0.004167724825679468,2.6842466829655605,0.010066376573144282
dubinin,6359,530,2200.0,3.212434355758741,0.10060266915218269,0.18735328401904905,1.5592343061124243,0.6295617296862246,-1.7003248171277507,3.0901219556162727,1.1044582336483562,-0.15734736936238983,-0.00351629176078144,0.007683100055526123,0.004078257922670409,3.285337103723246,0.009382245034851142
snyder,15512,527,2192.0,3.0411903579430297,0.02301294810099034,0.24045752877523463,2.221749510571218,3.1089940639829945,1.3783245986209598,2.630890796155895,1.4966254362977607,-0.1247967550354723,-0.004340420241065702,0.008343138472343742,0.003100632948237842,3.029364340573554,0.0099025820934468
boda,1487,527,2201.0,3.1376898593471325,0.12072291808480384,0.04305175866113364,1.6941513785256563,1.8899557652762795,-3.051137452451933,3.0579980274151226,1.6410705948403552,0.5590174937769042,-0.004301242168063719,0.006779426638000781,0.0030966099445951384,3.515247529161079,0.008605248565691148
prometheus,1809,526,2198.0,2.9263062788080227,0.10271439181227908,0.056864297831988875,1.7363860313149284,-2.2411374749801913,0.7703332885457804,2.483369013765264,1.0848851296528712,0.3069525042200001,-0.0036394824414168565,0.00925070227283877,0.004129790258428207,2.7273278576141737,0.01076459439833636
tselina,2111,522,2258.0,3.0156983469558534,0.09515711879474514,0.1833285434167331,2.917714638404009,-2.220066121705833,-2.5273051830978654,-1.1316622298533578,-2.984962753387856,-0.6525860823817953,0.008712312986594625,-0.0025827773177735354,-0.0009678697955657814,3.258301802551124,0.009138485005227036
elbsteel,6828,521,2116.0,2.690799514007955,0.22767087248766973,0.20769305208844724,1.8974998237545404,-0.9524294468759671,-2.506733956416077,-0.6339612727500454,-3.016429322865622,-0.9383621196738204,0.008389012176534767,-0.0001356586042224781,-0.0018211539296580216,3.2219987931141683,0.008585483689953469
sato-norio,15672,521,2165.0,2.4243868640518675,0.1397275352981316,0.03979409714513227,0.08344361894522656,2.662718123868529,1.7979731106292691,0.23040359056723203,-2.281555372066566,-1.0994450135522846,0.010510801011146693,-0.0003703136905080388,-0.00021699143454196205,2.5431004833032183,0.010519560609073204
grant,3154,519,2124.0,3.096332945763147,0.17361897037184024,0.043213635505622516,1.7915540840983086,-0.9356932357560783,-2.3162891577901665,-0.3840290800361285,-3.2141349221611355,-1.3399046535008754,0.00855746713214712,0.0001777587156623798,-0.000316835982028066,3.503353552332745,0.008565175241539422
wendycalvin,5662,519,2230.0,2.9906410565809614,0.024155964034783282,0.14905750739272938,5.373731664461428,-1.6111057427985578,-2.2410138726182174,0.243783270706345,2.6407474905298316,1.4790989246726438,-0.009709217768956769,0.001085090628099132,-0.0007120839211432541,3.036562401924857,0.009795580374177182
arabia,1157,518,2217.0,3.1833117107088786,0.14397717858662293,0.1665741521550521,5.867822919803816,-0.8117464334111704,1.642377309671828,2.5024226299907144,1.6994575854498395,1.2678492335098828,-0.0049491532972144635,0.006887853265269601,0.003942843629121362,3.2798958493745256,0.009353216390467869
scientia,7756,518,2201.0,3.160746870458549,0.01666370728266467,0.29020595544104344,1.8730767457099413,-2.3973433526804904,1.052586855164411,2.539360457241169,1.8327461369424674,-0.151579390354335,-0.004946879327686346,0.00742386395193172,0.003943802442051449,3.1353287301107375,0.009753919661418826
gyoda,5138,518,2126.0,3.0988205316210955,0.16968859402080938,0.013976856517889491,3.3799450953454966,-1.718462525077264,3.120697045862428,0.27379919501001326,-3.3355450686032118,-1.3916497215655679,0.008211732951103941,0.0005401936356113183,0.0002549026807540524,3.62457112654792,0.008233428362526562
benita,45737,518,2196.0,3.192327095267041,0.047354443266943796,0.17800529114040597,3.166504776345267,2.190296568594882,2.430607764618267,0.02599002208990073,3.2216156186316005,0.7583174885300493,-0.009273237273638416,0.00034980558556710036,4.03064520607513e-05,3.309762542671275,0.0092799201554199
nestor,659,516,2200.0,5.181177213639932,0.11651133185504166,0.07894263936604862,6.123773319881693,-0.3202008833695244,-2.0602232485036542,-5.055674132299691,-1.9174277305651866,-1.087071724766395,0.003448127826094971,-0.005489464133206004,-0.0028583171569705585,5.515260190483417,0.007084756802084164
geramtina,1433,515,2130.0,2.7956554725521947,0.17186272878407952,0.14378458489706958,5.6126126735379085,1.6419359829407643,-2.1420833273850777,0.45911512644524427,-2.683017730253185,-1.4961278282192936,0.00880580825540091,0.0018220927383062813,0.0019564246022289724,3.1060858517684222,0.009202710372606653
aristides,2319,514,2208.0,2.90548257398492,0.09079585844380836,0.05183256794062574,1.966802019138854,-1.6295087901379521,0.7975584811774075,0.7937472764595791,2.4355487209928266,0.9574837429175127,-0.009989954682332911,0.003346447709325217,0.0018886720622078403,2.734722550674588,0.010703503584568824
salome,562,514,2135.0,3.0178989867806143,0.10030260164791716,0.19381858117952344,1.2323573426117251,-1.678954684255299,-1.685770278183965,-2.0938652136816613,-2.1588557063378357,-0.6731446275258742,0.0075044630480372845,-0.00468573393982796,-0.003963258149164303,3.081891169950771,0.009694353168269143
davidkulka,20557,513,2185.0,2.3779633679366174,0.10278542112425569,0.10944595987882888,2.9135745337505234,2.024260003573106,-2.8663796129462638,-1.1424144376095664,2.2367002285884094,0.7274776258098853,-0.00896100857714556,-0.004497262973530542,-0.0011714433542202776,2.614796809673787,0.010094420662173333
kongozan,13686,513,2203.0,3.112125712975718,0.18237305262630196,0.02180550393677172,3.501834561437615,2.680493928428979,1.9634065313543019,-1.9152588376807682,2.614117127666348,1.0546260771255815,-0.008020464391090004,-0.00346937844376556,-0.0014873961270318809,3.4079408643675344,0.00886435463378566
abbywilliams,31631,513,2220.0,2.4797558046807326,0.1609712506332065,0.11717110471539716,2.9922803413036716,-2.410775475763904,-1.5436412363495262,0.7277616522230808,-2.318415491893065,-0.7131885185148792,0.009619609174286189,0.004518122157926176,0.0011893209353560957,2.5324543980963763,0.010694147595167685
dalton,12292,512,2198.0,3.1438798807939987,0.09455682461832846,0.10825926780446693,1.2485388180176784,2.0436156408715616,-2.8538174464389745,3.1586572086498994,1.3132458865555277,0.26358841621244156,-0.0035352933829302284,0.00716748962285678,0.0038082613778339528,3.430919552171454,0.008852912600893088
kilopi,3142,512,2160.0,2.553186555288595,0.08872190618509561,0.24771975010390235,5.601952592348621,-3.0035105886621496,1.6767816811602738,-0.631044204342061,-2.0169309557445394,-1.508758618455304,0.009873210137733313,-0.0037469350373071923,-0.000706865872932348,2.5966478076237913,0.010583924601014339
maxwell,12760,512,2187.0,3.0500506865441968,0.0979549143346495,0.17265221317063495,3.2115960614271937,2.6643498094639804,1.7385124631400108,0.1637505266237943,3.0355771088414225,0.7347697696380271,-0.009498227006904678,0.0013955288073224294,0.0002194386129285142,3.1275276550440827,0.00960270640140602
ethel,2032,511,2224.0,3.0683550152213925,0.12962446212895046,0.026429198087468242,0.525555400168054,-1.1286188320541424,2.8729280845174876,-2.3758176594162483,2.264548426149861,1.0786232985837305,-0.00646105190234227,-0.005261389988892913,-0.002331123204861167,3.454868643728667,0.008652257029019967
sadako,7616,511,2126.0,2.9978879539529477,0.11196193352620001,0.16389965162954567,4.089750445092258,2.509152033249067,-1.6305789189528623,0.0897359206039634,-2.9087726017395665,-0.9285908702486694,0.009567687222516733,0.0009025181876142372,0.0016368060301255067,3.0547162860708665,0.009748554346524394
grahamryder,5479,510,2167.0,2.5759117127569793,0.21873232412335197,0.2347439127436326,3.5009308935101213,2.185468844035352,2.7701706350368354,-2.0449609067215793,2.3312940180853747,0.2747021491537427,-0.006869659322360072,-0.005064839119012041,-0.0015419926862857182,3.1132391780153803,0.008673093793527311
szilard,38442,510,2164.0,2.901373390001634,0.07637301819666929,0.015622078434169406,5.622005430917968,-0.03780022224758075,2.7074738336944635,-1.47996716288962,2.496673858210309,1.103651656856137,-0.008405939009742146,-0.0038319996715386255,-0.001806179164427119,3.105113546584665,0.009413092759140726
fabre,1649,510,2193.0,3.0212761725562993,0.045406653308384844,0.188843608092099,2.539051539026782,0.17830637416999695,2.268776749749722,1.0589430766134462,-2.8036953060342737,-0.8416273818670327,0.00907548632703895,0.0031260429301122826,-0.0001950462169130859,3.1129414479707975,0.009600762443676442
penthesilea,271,510,2234.0,3.00334943220771,0.1036042719485386,0.06177646573552997,5.85329496401353,1.0192466268002804,-2.585880132876474,-1.6363781013496568,-2.516763430068582,-1.3105881078067945,0.008066309542046814,-0.0037824814225427225,-0.0016665612566468758,3.275587373560943,0.0090636605056761
benferinga,12655,510,2193.0,3.0394569565781073,0.10319569876180647,0.2046407165865658,2.653639782122636,2.000414283237305,3.0348908824440413,0.4552800257704209,3.2443728887091976,0.7073320326550369,-0.00876464961613583,0.0010797696864896168,0.0011113707924975107,3.3516494368111776,0.008900569111461826
boyce,2611,510,2228.0,3.0388983945841384,0.057716619431858296,0.058034183618348445,1.2585533521867331,2.4821809094427114,-2.3930406805360933,0.9302669941178616,2.7810319276724473,1.2086516499498667,-0.009112900358145075,0.0020052264280192287,0.001465670565484384,3.1718092745316744,0.00944532033186989
chamisso,24711,509,2195.0,2.3078200650011147,0.21881239215518827,0.05066550747053378,5.115573635043426,-0.31123142295202005,0.34065735771083183,1.0851069538628058,-1.382068084604789,-0.5765047544959844,0.011907112694126233,0.006181106223548993,0.0034378009721414632,1.8493044702701182,0.01384932786749866
hermitage,4758,509,2161.0,3.2194702447113497,0.1704861226606117,0.028320490722876457,1.0560925718971435,-1.2746614653637285,-3.086589100053807,-3.7062940285001966,0.5747777217975448,0.3589906635499997,-0.001373635663524798,-0.0072672648315010345,-0.0032347273965023984,3.767739262699459,0.008072389633619165
komatsusakyo,6983,507,2309.0,3.2145016840642304,0.126127498162843,0.13584113599833447,1.9220135166881207,-2.2737301674311716,1.0196839755189533,1.8690515435008939,2.3192761003331115,0.6223320635751493,-0.007119180732877533,0.006349644682106535,0.003381225705054526,3.0429742850035955,0.010120939144412438
stirling,30445,507,2195.0,2.696665479382871,0.15104960561749253,0.21031182768896173,5.017457465123801,-1.2729905953463525,-2.039183776754607,0.30018677761254187,2.561133976145579,1.3795674445654789,-0.009429861617289752,0.0006927121398196977,-0.0017979573822129232,2.9245043476332175,0.009624696929157926
mitsunori,11079,507,2236.0,2.625302674048028,0.2009767500738429,0.24303036875580375,2.037427341984102,-1.269423134401861,-2.65967404871527,-1.3498652953997516,-2.7510908833919534,-0.5342771127524295,0.007986158787073577,-0.002607264333632978,-0.00263931498268821,3.1106413161304935,0.008805824382511247
duccio,11621,507,2202.0,3.200393995603785,0.11674808347623826,0.20218336067104237,5.833790625302505,0.5133964465226417,1.8806954565507186,-1.8664961642766056,2.397752400770594,1.4143045808305106,-0.008078132370857468,-0.0031620674637602196,-0.002977100500661163,3.3516088605352796,0.009171587683574924
jackson,2193,506,2196.0,3.105399707181506,0.074071229876066,0.2040128996740449,0.6389516166360316,-2.330810196521022,1.9683908493990803,2.935865989202761,1.238349661592864,0.3747247844857121,-0.0030524916617730427,0.007297694132604711,0.005157772389115106,3.2083075998152877,0.0094433395055015
caracol,12557,506,2203.0,3.157155509668461,0.0044098745086344725,0.08416795230088892,3.9772396576631284,-1.5698491148922886,-1.769835427185206,2.5536488377862625,1.6852454358337854,0.7900752531005227,-0.005699003022290163,0.007450096645524391,0.0023617993057707736,3.1599673212372927,0.009672676539431343
cecilgreen,4058,506,2162.0,3.0117022830150897,0.09565252882635909,0.18823796489815647,1.0795294349631774,-1.91488582912788,2.8356765395620562,-1.4797788536148775,2.4515577490259473,1.6170947655407382,-0.008038485720208783,-0.004076349685534957,-0.0006888524839958053,3.2885979281685054,0.009039269725894269
